장소,주소,위도,경도
중동중학교,서울특별시 강남구 일원로8길 37,37.4887382,127.0782333
밀알학교,서울특별시 강남구 일원본동 일원로 90,37.4857687,127.0823156
개포동근린공원,서울특별시 강남구 개포동 180,37.48421,127.07006
개원중학교,서울특별시 강남구 영동대로 101,37.4919031,127.0716502
대진공원,서울특별시 강남구 개포동 12,37.4777461,127.058229
마루공원,서울특별시 강남구 개포동 18-35,37.48421,127.07006
중동고등학교,서울특별시 강남구 일원로 7,37.4931119,127.0807535
일원에코파크,서울특별시 강남구 일원동 4-12,37.48754,127.08705
서울로봇고등학교,서울특별시 강남구 광평로20길 63,37.4816561,127.0861452
