"고유번호","녹지대ID","녹지대명","주소한글","녹지대분류","녹지대조성년도","녹지대면적","조경량","구명","구코드","X 좌표","Y 좌표"
"2211","0","불광천변녹지","","도로변녹지","0","9414.00000000","0E-8","마포구","440","191150.433","451629.556"
"1985","0","올림픽로 분리대","","중앙분리대","0","28907.00000000","0E-8","송파구","710","208043.505","445812.187"
"1755","0","구청사","","건물조정(공공건","0","1207.00000000","0E-8","강서구","500","186724.013","450147.123"
"1765","0","위례성길 분리대","","","0","0E-8","0E-8","송파구","710","211040.244","445964.552"
"1762","0","마을마당","미아4동8-40","휴게소","0","231.00000000","435.00000000","강북구","300","203365.517","457211.417"
"1787","0","옥수1동556","옥수1동556","기타","0","30.00000000","0E-8","성동구","200","201122.615","449740.715"
"1798","0","연대앞휴게소","창천동","간이휴게소","1999","200.00000000","15.00000000","서대문구","410","194191.571","451155.508"
"1753","0","양화대교I.C","","광장녹지","0","52297.00000000","0E-8","마포구","440","192038.888","449751.745"
"2052","0","양화로푸른거리","","도로변녹지","0","892.00000000","0E-8","마포구","440","192511.091","450141.579"
"2060","0","공릉2 마을마당","","휴게소","0","1615.00000000","2562.00000000","노원구","350","207472.71","458412.059"
"2070","0","난지도길 가로녹지","","도로변녹지","0","12268.00000000","0E-8","마포구","440","189433.666","453115.454"
"1835","0","선사주거지앞 녹지","선사초등-점마을","광장녹지","0","1050.00000000","0E-8","강동구","740","211506.114","450929.732"
"1811","0","군자교서측 중랑천제방","용답동 240-3","하천변조경","0","420.00000000","0E-8","성동구","200","206224.683","451144.334"
"1922","0","낙성대","","도록변녹지","0","0E-8","0E-8","관악구","620","196363.524","441793.732"
"395","0","난지도입구(자유로변)","","수벽","0","2000.00000000","0E-8","마포구","440","191037.097","451411.705"
"306","0","남부순환도로변수림대","","수림대","0","8240.00000000","0E-8","강서구","500","183292.292","450854.56"
"337","0","남부순환로","","중앙분리","0","10363.00000000","0E-8","관악구","620","195546.834","442464.753"
"410","0","구로I.C녹지대","","도로변녹지","0","13330.00000000","0E-8","구로구","530","189240.858","443070.656"
"335","0","금로4가동1101","금호4가동1101","기타","0","30.00000000","0E-8","성동구","200","201870.672","449851.521"
"284","0","용산선철로연변","","수벽","0","1126.00000000","0E-8","마포구","440","193194.716","451391.745"
"264","0","개화동마을앞수벽","","수벽","0","245.00000000","0E-8","강서구","500","182382.368","453295.035"
"292","0","능동로걷고 싶은 거리","","도로변녹지","0","1516.00000000","0E-8","광진구","210","206015.855","448367.628"
"2245","0","테헤란로분리대","","분리녹지대","0","8253.00000000","0E-8","강남구","680","205085.421","445297.198"
"276","0","증권단지옆녹지대","","광장녹지","0","9250.00000000","0E-8","영등포구","560","193282.801","446996.696"
"69","0","서초로중앙분리대","강남역~서초역","중앙분리대","0","5760.00000000","0E-8","서초구","650","202261.286","444208.538"
"369","0","합정로변 푸른거리","2003.하반기 완공예정","","0","0E-8","0E-8","마포구","440","191601.547","451339.906"
"2249","0","신설동지하환기구녹지대","신설동 신설동로터리","지하철환기","0","492.00000000","148.00000000","동대문구","230","202106.252","452902.201"
"223","0","신림로","","수벽","0","300.00000000","0E-8","관악구","620","193871.391","442293.115"
"299","0","화곡로입구녹지대(구청사거","","광장녹지","0","4640.00000000","0E-8","강서구","500","186936.633","450781.761"
"15","0","남부순환도로 분리대","","노변분리대","0","2022.00000000","0E-8","송파구","710","209261.415","443920.469"
"23","0","강동구 구민회관","천호동41","건물조경","0","0E-8","0E-8","강동구","740","212459.535","449609.888"
"212","0","천호동566-5녹지","천호동566-5","광장녹지","0","71.00000000","0E-8","강동구","740","211424.155","448784.527"
"192","0","금호역녹지","","도로변녹지","0","1500.00000000","0E-8","성동구","200","201433.191","449887.442"
"225","0","신림본동","","간이휴게소","0","246.00000000","0E-8","관악구","620","193798.682","442400.636"
"509","0","화곡로입구녹지대(구청사거","","광장녹지","0","4640.00000000","0E-8","강서구","500","186974.387","450657.215"
"465","0","시흥I.C 녹지","독산동 141번지 8호외 4필","광장녹지","1980","16450.00000000","0E-8","금천구","540","190931.985","442111.322"
"266","0","염창동휴게시설","","기타","0","591.00000000","0E-8","강서구","500","188655.485","450702.938"
"295","0","시흥IC","","도로변녹지","0","8230.00000000","0E-8","관악구","620","191198.465","442233.713"
"278","0","성산ic","양화동1-114","광장녹지","0","8340.00000000","0E-8","영등포구","560","190129.611","449653.986"
"319","0","양화ic","양평2동184-4일대","광장녹지","0","35815.00000000","0E-8","영등포구","560","191170.387","448770.862"
"327","0","마장동 한국전력주변","마장동 한국전력주변","기타","0","47.00000000","0E-8","성동구","200","202945.883","452076.618"
"336","0","남부순환로","","중앙분리","0","10363.00000000","0E-8","관악구","620","195073.413","442523.757"
"346","0","통일로","","수림대","0","7400.00000000","5800.00000000","은평구","380","192578.496","460208.979"
"354","0","푸른거리(홍대입구-성모병","","도로변녹지","0","667.00000000","0E-8","마포구","440","192267.26","451653.939"
"521","0","남부순환도로변수림대","","수림대","0","8240.00000000","0E-8","강서구","500","184355.552","449430.526"
"543","0","성산대교I.C","","광장녹지","0","35544.00000000","0E-8","마포구","440","190621.191","451038.819"
"10","0","잠원역수벽","잠원역~경원중","수벽","0","200.00000000","0E-8","서초구","650","200929.333","445879.412"
"37","0","사당사거리","","광장녹지","0","313.00000000","0E-8","서초구","650","198416.728","441934.51"
"237","0","중곡동 가각","","광장녹지","0","240.00000000","0E-8","광진구","210","207590.68","452118.717"
"579","0","유원아파트앞녹지대","성산2동유원A앞(하천변)","도로변녹지","0","6617.00000000","0E-8","마포구","440","192457.555","451937.455"
"600","0","국회앞노변분리대","","노변분리대","0","11064.00000000","0E-8","영등포구","560","192741.441","447680.527"
"630","0","고덕시립도서관앞 녹지","상일동145","광장녹지","0","520.00000000","0E-8","강동구","740","213936.284","450669.524"
